id_calle,orden_carga,nombre_calle,observacion_calle
196,194,"Marcial , Jesus",Ceferino Namuncura
197,195,"Millapi , Oscar",Ceferino Namuncura
198,196,"Giachino , Capitan",Ceferino Namuncura
199,197,La Cautiva,Ceferino Namuncura
200,198,Facundo,Ceferino Namuncura
201,199,"Kennedy , John Fitzgerald","Zonas 10 , 17 , 30 Y 36"
202,200,Onas,Ceferino Namuncura
203,201,Curupaiti,Ceferino Namuncura - 13 de Diciembre - 9 de Julio
204,202,"Almonacid , Mario",Ceferino Namuncura
205,203,Las de Barranco,Ceferino Namuncura
206,204,"Obligado , Rafael",Ceferino Namuncura
207,205,Oran,Ceferino Namuncura
208,206,Huacalera,Ceferino Namuncura
209,207,"Artl , Roberto",Ceferino Namuncura
210,208,"Wilde , Oscar",Ceferino Namuncura
211,209,Almafuerte,Ceferino Namuncura
212,210,"Zamora , Juan",Ceferino Namuncura
213,211,Posta del Yatasto,Ceferino Namuncura
214,212,Turcovich,Ceferino Namuncura
215,213,"Laferrere , Gregorio De",Ceferino Namuncura
216,214,"Sanchez , Florencio",Ceferino Namuncura
217,215,"Tejeda , Luis De",Ceferino Namuncura
218,216,30 de Octubre,Ceferino Namuncura
219,217,Croacia,Centro Civico General Solari
220,218,Democracia,Centro Civico General Solari
221,219,"Garcia Fernandez , Juan",Centro Civico General Solari
222,220,"Lopez , Daniel Candel Profesor",Centro Civico General Solari
223,221,Punta Piedras,Centro Civico General Solari
224,222,"Carstens , Federico",Centro Civico General Solari
225,223,"Ducos , Enrique Ingeniero",Centro Civico General Solari
226,224,2 de Abril,Centro Civico General Solari
227,225,"Girardez , Francina Profesora",Centro Civico General Solari
228,226,Grecia,Centro Civico General Solari
229,227,"Saenz Peña , Roque",Centro Civico General Solari
230,228,Bahia Bustamante,Centro Civico General Solari
231,229,"Grane , Ani",Centro Civico General Solari
232,230,"Venter , Martin M.",Acceso Sur
233,231,"Maliqueo , Geronimo",Tte. Gral Julio Argentino Roca - Pueyrredon
234,232,"Rodrigo , Jose Maria",Tte. Gral. Julio Argentino Roca
235,233,San Francisco de Asis,San Isidro Labrador - Doctor Quirno Costa
236,234,Clarin,Tte. Gral .Julio A. Roca - Pueyrredon - San I. Labrador
237,235,Cerro Chenque,Pueyrredon - San Isidro Labrador
238,236,"Levalle , D. Nicolas Teniente General",Pueyrredon - Tte. Gral. Julio Argentino Roca
239,237,"Yupanqui , Atahualpa",Tte. Gral. Julio Argentino Roca - Pueyrredon
240,238,El Patagonico,Tte.Gral. J.A.Roca-Pueyrredon-San I. Labrador-Dr.Q.Costa
241,239,"Gardel , Carlos",Julio A. Roca - Pueyrredon - San Isidro Labrador
242,240,Cronica,Tte. Gral. Julio A. Roca - Pueyrredon - San I. Labrador
243,241,Polonia,"Zonas 17 , 18 , 29 , 30 , 31 , 36 , 37 , 39 Y 41"
244,242,La Prensa,Pueyrredon - Juan Xxiii
245,243,"Behr , Francisco Jose","Zonas 17, 30, 37, 39 Y 41"
246,244,"Galina , Jorge J. Gobernador",Pueyrredon - Juan Xxiii
247,245,"Cayelli , Andino Doctor","Zonas 17, 30, 37, 39 Y 41"
248,246,"Olavarria , Jose Valentin de Coronel",Pueyrredon - Juan Xxiii
